Category,Question,Type,Difficulty,Answer,Rating_N,Rating_G,Rating_H1
Control Flow,How many activities are present in the whole workflow?,workflow,easy,12,1.0,,1.0
Control Flow,What is the final status of the workflow?,workflow,easy,Completed,1.0,,1.0
Control Flow,What is the time to completion of the workflow?,workflow,easy,8.13s,1.0,,0.2
DataFlow,List all the parameters of the first activity of the workflow,workflow,easy,era5_subset/run_pipeline_GR0_0;Original_requirements.txt/run_pipeline_GR0_0;requirements.txt/run_pipeline_GR0_0,1.0,,0.6
Scheduling,What hardware was used in the workflow?,workflow,easy,arm64;1 core,1.0,,1.0
Scheduling,Who is responsible for this workflow (person or username or entity)?,workflow,easy,gabrielepadovani,1.0,,1.0
Control Flow,What was the specific execution order of the tasks?,workflow,medium,OutputGeneration;InputFilesValidation;DomainInference;PipelineCreation;PipelineExecution;PipelineFinalize,1.0,,1.0
Control Flow,List all parameters for all activites in the workflow,workflow,medium,task_count;started_at;ended_at;duration;status;hosts;inputs;outputs,0.1,,1.0
Telemetry,What was the peak RAM consumption during the workflow?,workflow,medium,N/A,0.0,,1.0
Scheduling,Has the model been trained in a distributed setting?,workflow,medium,N/A,0.0,,0.5
Telemetry,What was the total power consumption in Watts of the GPU(s) during the workflow?,workflow,hard,N/A,0.0,,1.0
DataFlow,What significant input artifacts are involved in the generation of the finetuned model?,workflow,hard,dlesym_pretrained.pt;requirements.txt;src/pipeline2/finetune_model.py,1.0,,1.0
Telemetry,What is the total energy use for completing the workflow?,workflow,hard,N/A,0.0,,1.0
DataFlow,List all input files with size larger than 100Mb,data,easy,None.,1.0,,1.0
DataFlow,List all different file types used as input,data,easy,txt;py;pt;npz;nc,0.0,,1.0
DataFlow,Identify the largest output,data,easy,train.npz,1.0,,1.0
Control Flow,What is the science domain of the dataset?,data,easy,N/A,0.3,,1.0
DataFlow,Does the dataset have a predetermined train-test split?,data,medium,N/A,1.0,,0.0
DataFlow,How many samples are present in the whole dataset?,data,medium,N/A,0.0,,1.0
DataFlow,What is the data type of the ground truth (if present)?,data,medium,N/A,0.0,,1.0
Control Flow,What is the specific task for which the dataset was created?,data,medium,N/A,0.0,,1.0
DataFlow,What is the size in byte of one sample?,data,hard,N/A,0.0,,1.0
DataFlow,What is the total size of the whole dataset?,data,hard,N/A,0.0,,1.0
Control Flow,What are the designed uses for this model?,model,easy,N/A,0.0,,1.0
Control Flow,How many epochs have been used in the finetuning?,model,easy,N/A,0.0,,1.0
DataFlow,How many model parameters (weights) does the model have?,model,easy,N/A,0.0,,1.0
Control Flow,What is the science domain of the model?,model,easy,N/A,0.0,,1.0
Control Flow,What is the task solved by this model (regression or classification or forecast etc.)?,model,medium,N/A,0.0,,1.0
Control Flow,What is the intended use of this model?,model,medium,N/A,1.0,,1.0
DataFlow,What is the size of the final model in Mb?,model,medium,0.001885,0.0,0.0,0.1
Scheduling,What technique was used to fine-tune the model? (e.g. LoRa; GAN...),model,medium,N/A,0.0,,1.0
Telemetry,What is the claimed performance of this model?,model,hard,N/A,0.0,,1.0
Control Flow,Are the performance shown in the pretrained version improved in the finetuning?,model,hard,N/A,0.0,,1.0