file,model,coverage_score,coverage_found,coverage_missing,hallucination_rate,unsupported_claims,total_claims,semantic_mean_sim,semantic_min_sim,rouge_l_f1,rouge_l_precision,rouge_l_recall,tokens_at_threshold,chunk_at_threshold,attr_accuracy,distinct_n,self_bleu,bleu_multi_ref,bleu,total_letters,total_words,total_sentences
"inferences/json/example_F.jsonl__Llama-3.2-3B.json","Llama-3.2-3B",0.0667,2,28,0.2,10,50,0.5057,0.1487,0.0639269406392694,0.0374331550802139,0.21875,,,0.0,0.0,0.8574431492451748,0.0008199469762412483,0.0006230249728902188,5233,635,7
"inferences/json/example_Y.json__Llama-3.2-3B.json","Llama-3.2-3B",0.68,17,8,0.74,37,50,0.6702,0.5156,0.075,0.046511627906976744,0.1935483870967742,1148.0,1.0,0.0,0.0,0.8545857169219413,0.0006925107103329402,0.0010838378342776834,5419,699,23
"inferences/json/fusion_F.jsonl__Llama-3.2-3B.json","Llama-3.2-3B",0.3667,11,19,0.4419,38,86,0.5592,0.2431,0.06053550640279394,0.03551912568306011,0.2047244094488189,,,0.0,0.0,0.8384867852824321,0.0007864048619447325,0.0008315219024503048,5789,689,19
"inferences/json/fusion_Y.json__Llama-3.2-3B.json","Llama-3.2-3B",0.04,1,24,0.7143,20,28,0.6537,0.4398,0.08022922636103152,0.05588822355289421,0.14213197969543148,,,0.0,0.0,0.84049610614364,0.0010631821970918695,0.0022253582405771704,3467,480,14
"inferences/json/nasa_F.jsonl__Llama-3.2-3B.json","Llama-3.2-3B",0.1333,4,26,0.5556,20,36,0.5317,0.1644,0.06684491978609626,0.040257648953301126,0.1968503937007874,,,0.0,0.0,0.8655796380990256,0.0008832751016192024,0.0,5029,594,2
"inferences/json/nasa_Y.json__Llama-3.2-3B.json","Llama-3.2-3B",0.56,14,11,0.9231,24,26,0.5946,0.3704,0.08683473389355742,0.059961315280464215,0.15736040609137056,742.0,0.0,0.0,0.0,0.8545353982300885,0.000824699217689017,0.0012332129700453665,3616,485,15
"inferences/json/train_test_splits_F.jsonl__Llama-3.2-3B.json","Llama-3.2-3B",0.0667,2,28,0.7667,23,30,0.5806,0.264,0.06367041198501873,0.04176904176904177,0.13385826771653545,,,0.0,0.0,0.8489601091033072,0.0011649846293231502,0.000979631398623514,2933,380,11
"inferences/json/train_test_splits_Y.json__Llama-3.2-3B.json","Llama-3.2-3B",0.68,17,8,0.4651,20,43,0.6279,0.4144,0.09666283084004602,0.06278026905829596,0.21,1203.0,1.0,0.0,0.0,0.8468220338983051,0.0007653483972878307,0.0011444627930939717,4720,617,16
"inferences/json/turbolence_F.jsonl__Llama-3.2-3B.json","Llama-3.2-3B",0.1,3,27,0.4,4,10,0.4869,0.035,0.13333333333333333,0.08456659619450317,0.31496062992125984,,,0.0,0.0,0.7675675675675676,0.001347139061950005,0.008235069874363997,3700,338,8
"inferences/json/turbolence_Y.json__Llama-3.2-3B.json","Llama-3.2-3B",0.04,1,24,0.9259,25,27,0.7008,0.5526,0.0425531914893617,0.028901734104046242,0.08064516129032258,684.0,0.0,0.0,0.0,0.8474191718661372,0.000824699217689017,0.0013414364179434558,3526,481,11
"inferences/cards/example_F.md__Llama-3.2-3B.json","Llama-3.2-3B",0.0625,2,30,0.0,0,2,0.6488,0.6488,0.026229508196721315,0.013937282229965157,0.2222222222222222,,,0.0,0.0,0.8314990512333966,0.001029714127891664,0.0013551800044882573,2635,357,1
"inferences/cards/example_Y.md__Llama-3.2-3B.json","Llama-3.2-3B",0.1875,6,26,0.3846,5,13,0.6673,0.6187,0.023255813953488372,0.012135922330097087,0.2777777777777778,,,0.0,0.0,0.8346140995656532,0.0009344363809329285,0.0012297874377032024,2993,382,9
"inferences/cards/fusion_F.md__Llama-3.2-3B.json","Llama-3.2-3B",0.125,4,28,0.1667,1,6,0.7379,0.7379,0.02279202279202279,0.012012012012012012,0.2222222222222222,,,0.0,0.0,0.8260700389105058,0.0,0.001294728991111791,2570,365,6
"inferences/cards/fusion_Y.md__Llama-3.2-3B.json","Llama-3.2-3B",0.125,4,28,0.6842,13,19,0.5397,0.3758,0.020408163265306124,0.01059322033898305,0.2777777777777778,,,0.0,0.0,0.8400243309002433,0.0008654867645534142,0.0011390446393830802,3288,433,10
"inferences/cards/nasa_F.md__Llama-3.2-3B.json","Llama-3.2-3B",0.125,4,28,0.5806,18,31,0.5833,0.4918,0.0165016501650165,0.008503401360544218,0.2777777777777778,,,0.0,0.0,0.8531172069825437,0.0007482713449158784,0.0014103710207418539,4010,541,20
"inferences/cards/nasa_Y.md__Llama-3.2-3B.json","Llama-3.2-3B",0.1875,6,26,0.1111,1,9,0.6164,0.5202,0.026737967914438502,0.014044943820224719,0.2777777777777778,,,0.0,0.0,0.826950354609929,0.000930713492177692,0.0012248878405593238,2820,376,8
"inferences/cards/train_test_splits_F.md__Llama-3.2-3B.json","Llama-3.2-3B",0.2812,9,23,0.0476,1,21,0.4656,0.4656,0.02304147465437788,0.01201923076923077,0.2777777777777778,,,0.0,0.0,0.8407830342577488,0.0009419774562989151,0.0021337165308708004,3065,376,20
"inferences/cards/train_test_splits_Y.md__Llama-3.2-3B.json","Llama-3.2-3B",0.1875,6,26,0.2174,5,23,0.4983,0.4381,0.01949317738791423,0.010101010101010102,0.2777777777777778,,,0.0,0.0,0.8339536215287718,0.0008175866213423001,0.0018399108449663815,3493,448,21
"inferences/cards/turbolence_F.md__Llama-3.2-3B.json","Llama-3.2-3B",0.0625,2,30,0.2222,2,9,0.7928,0.7928,0.028818443804034585,0.015197568389057751,0.2777777777777778,,,0.0,0.0,0.8250965250965251,0.0009986035810664662,0.0013142362222828732,2590,347,7
"inferences/cards/turbolence_Y.md__Llama-3.2-3B.json","Llama-3.2-3B",0.0312,1,31,0.4615,6,13,0.6656,0.6165,0.017241379310344827,0.00909090909090909,0.16666666666666666,,,0.0,0.0,0.8393374741200829,0.0011395921675624897,0.0,2415,311,10
